imie,plec,rok,miesiac,liczba
Adam,M,2011,5,18
Adam,M,2011,4,13
Adam,M,2011,3,15
Adam,M,2011,2,10
Adam,M,2011,1,15
Adam,M,2010,12,13
Adam,M,2010,11,14
Adam,M,2010,10,9
Adam,M,2010,9,19
Adam,M,2010,8,6
Adam,M,2010,7,7
Adam,M,2010,6,7
Adam,M,2010,5,18
Adam,M,2010,4,4
Adam,M,2010,3,12
Adam,M,2010,2,5
Adam,M,2010,1,12
Adam,M,2009,12,7
Adam,M,2009,11,13
Adam,M,2009,10,11
Adam,M,2009,9,26
Adam,M,2009,8,10
Adam,M,2009,7,12
Adam,M,2009,6,5
Adam,M,2009,5,6
Adam,M,2009,4,15
Adam,M,2009,3,9
Adam,M,2009,2,1
Adam,M,2009,1,5
Adam,M,2008,12,10
Adam,M,2008,11,13
Adam,M,2008,10,8
Adam,M,2008,9,11
Adam,M,2008,8,11
Adam,M,2008,7,16
Adam,M,2008,6,12
Adam,M,2008,5,5
Adam,M,2008,4,15
Adam,M,2008,3,10
Adam,M,2008,2,10
Adam,M,2008,1,13
Adam,M,2007,12,9
Adam,M,2007,11,15
Adam,M,2007,10,13
Adam,M,2007,9,8
Adam,M,2007,8,18
Adam,M,2007,7,10
Adam,M,2007,6,16
Adam,M,2007,5,8
Adam,M,2007,4,10
Adam,M,2007,3,9
Adam,M,2007,2,13
Adam,M,2007,1,8
Adam,M,2006,12,5
Adam,M,2006,11,7
Adam,M,2006,10,11
Adam,M,2006,9,8
Adam,M,2006,8,8
Adam,M,2006,7,15
Adam,M,2006,6,9
Adam,M,2006,5,10
Adam,M,2006,4,8
Adam,M,2006,3,8
Adam,M,2006,2,9
Adam,M,2006,1,12
Adam,M,2005,12,10
Adam,M,2005,11,8
Adam,M,2005,10,9
Adam,M,2005,9,5
Adam,M,2005,8,8
Adam,M,2005,7,12
Adam,M,2005,6,11
Adam,M,2005,5,15
Adam,M,2005,4,7
Adam,M,2005,3,6
Adam,M,2005,2,17
Adam,M,2005,1,12
Adam,M,2004,12,3
Adam,M,2004,11,4
Adam,M,2004,10,6
Adam,M,2004,9,9
Adam,M,2004,8,3
Adam,M,2004,7,1
Adrian,M,2016,5,0
Adrian,M,2016,4,1
Adrian,M,2016,3,0
Adrian,M,2016,2,1
Adrian,M,2016,1,0
Adrian,M,2015,12,0
Adrian,M,2015,11,1
Adrian,M,2015,10,2
Adrian,M,2015,9,1
Adrian,M,2015,8,1
Adrian,M,2015,7,1
Adrian,M,2015,6,5
Adrian,M,2015,5,1
Adrian,M,2015,4,2
Adrian,M,2015,3,2
Adrian,M,2015,2,3
Adrian,M,2015,1,1
Adrian,M,2014,12,0
Adrian,M,2014,11,3
Adrian,M,2014,10,2
Adrian,M,2014,9,4
Adrian,M,2014,8,2
Adrian,M,2014,7,1
Adrian,M,2014,6,0
Adrian,M,2014,5,2
Adrian,M,2014,4,1
Adrian,M,2014,3,3
Adrian,M,2014,2,2
Adrian,M,2014,1,1
Adrian,M,2013,12,1
Adrian,M,2013,11,1
Adrian,M,2013,10,0
Adrian,M,2013,9,3
Adrian,M,2013,8,0
Adrian,M,2013,7,3
Adrian,M,2013,6,1
Adrian,M,2013,5,2
Adrian,M,2013,4,1
Adrian,M,2013,3,6
Adrian,M,2013,2,1
Adrian,M,2013,1,1
Adrian,M,2012,12,2
Adrian,M,2012,11,5
Adrian,M,2012,10,3
Adrian,M,2012,9,4
Adrian,M,2012,8,3
Adrian,M,2012,7,0
Adrian,M,2012,6,1
Adrian,M,2012,5,5
Adrian,M,2012,4,3
Adrian,M,2012,3,2
Adrian,M,2012,2,3
Adrian,M,2012,1,2
Adrian,M,2011,12,3
Adrian,M,2011,11,1
Adrian,M,2011,10,4
Adrian,M,2011,9,1
Adrian,M,2011,8,4
Adrian,M,2011,7,3
Adrian,M,2011,6,5
Adrian,M,2011,5,3
Adrian,M,2011,4,1
Adrian,M,2011,3,2
Adrian,M,2011,2,2
Adrian,M,2011,1,5
Adrian,M,2010,12,3
Adrian,M,2010,11,5
Adrian,M,2010,10,1
Adrian,M,2010,9,1
Adrian,M,2010,8,1
Adrian,M,2010,7,3
Adrian,M,2010,6,2
Adrian,M,2010,5,1
Adrian,M,2010,4,2
Adrian,M,2010,3,4
Adrian,M,2010,2,1
Adrian,M,2010,1,0
Adrian,M,2009,12,0
Adrian,M,2009,11,2
Adrian,M,2009,10,4
Adrian,M,2009,9,3
Adrian,M,2009,8,4
Adrian,M,2009,7,3
Adrian,M,2009,6,0
Adrian,M,2009,5,4
Adrian,M,2009,4,3
Adrian,M,2009,3,3
Adrian,M,2009,2,0
Adrian,M,2009,1,2
Adrian,M,2008,12,5
Adrian,M,2008,11,3
Adrian,M,2008,10,1
Adrian,M,2008,9,5
Adrian,M,2008,8,5
Adrian,M,2008,7,5
Adrian,M,2008,6,2
Adrian,M,2008,5,0
Adrian,M,2008,4,5
Adrian,M,2008,3,3
Adrian,M,2008,2,4
Adrian,M,2008,1,8
Adrian,M,2007,12,4
Adrian,M,2007,11,5
Adrian,M,2007,10,6
Adrian,M,2007,9,3
Adrian,M,2007,8,4
Adrian,M,2007,7,6
Adrian,M,2007,6,7
Adrian,M,2007,5,5
Adrian,M,2007,4,5
Adrian,M,2007,3,3
Adrian,M,2007,2,7
Adrian,M,2007,1,4
Adrian,M,2006,12,5
Adrian,M,2006,11,7
Adrian,M,2006,10,7
Adrian,M,2006,9,8
Adrian,M,2006,8,7
Adrian,M,2006,7,6
Adrian,M,2006,6,6
Adrian,M,2006,5,8
Adrian,M,2006,4,7
Adrian,M,2006,3,8
Adrian,M,2006,2,4
Adrian,M,2006,1,1
Adrian,M,2005,12,10
Adrian,M,2005,11,5
Adrian,M,2005,10,6
Adrian,M,2005,9,2
Adrian,M,2005,8,5
Adrian,M,2005,7,4
Adrian,M,2005,6,7
Adrian,M,2005,5,3
Adrian,M,2005,4,6
Adrian,M,2005,3,3
Adrian,M,2005,2,10
Adrian,M,2005,1,9
Adrian,M,2004,12,1
Adrian,M,2004,11,3
Adrian,M,2004,10,4
Adrian,M,2004,9,5
Adrian,M,2004,8,4
Adrian,M,2004,7,2
Alan,M,2016,5,0
Alan,M,2016,4,0
Alan,M,2016,3,1
Alan,M,2016,2,1
Alan,M,2016,1,2
Alan,M,2015,12,2
Alan,M,2015,11,2
Alan,M,2015,10,4
Alan,M,2015,9,2
Alan,M,2015,8,1
Alan,M,2015,7,6
Alan,M,2015,6,5
Alan,M,2015,5,1
Alan,M,2015,4,2
Alan,M,2015,3,1
Alan,M,2015,2,4
Alan,M,2015,1,2
Alan,M,2014,12,2
Alan,M,2014,11,3
Alan,M,2014,10,2
Alan,M,2014,9,3
Alan,M,2014,8,2
Alan,M,2014,7,3
Alan,M,2014,6,4
Alan,M,2014,5,3
Alan,M,2014,4,4
Alan,M,2014,3,4
Alan,M,2014,2,4
Alan,M,2014,1,2
Alan,M,2013,12,0
Alan,M,2013,11,4
Alan,M,2013,10,0
Alan,M,2013,9,2
Alan,M,2013,8,2
Alan,M,2013,7,1
Alan,M,2013,6,2
Alan,M,2013,5,6
Alan,M,2013,4,3
Alan,M,2013,3,5
Alan,M,2013,2,1
Alan,M,2013,1,8
Alan,M,2012,12,2
Alan,M,2012,11,0
Alan,M,2012,10,3
Alan,M,2012,9,5
Alan,M,2012,8,5
Alan,M,2012,7,2
Alan,M,2012,6,4
Alan,M,2012,5,3
Alan,M,2012,4,2
Alan,M,2012,3,1
Alan,M,2012,2,3
Alan,M,2012,1,8
Alan,M,2011,12,2
Alan,M,2011,11,4
Alan,M,2011,10,2
Alan,M,2011,9,2
Alan,M,2011,8,0
Alan,M,2011,7,1
Alan,M,2011,6,4
Alan,M,2011,5,2
Alan,M,2011,4,2
Alan,M,2011,3,3
Alan,M,2011,2,6
Alan,M,2011,1,3
Alan,M,2010,12,5
Alan,M,2010,11,4
Alan,M,2010,10,4
Alan,M,2010,9,3
Alan,M,2010,8,3
Alan,M,2010,7,4
Alan,M,2010,6,3
Alan,M,2010,5,6
Alan,M,2010,4,2
Alan,M,2010,3,1
Alan,M,2010,2,2
Alan,M,2010,1,0
Alan,M,2009,12,2
Alan,M,2009,11,2
Alan,M,2009,10,4
Alan,M,2009,9,4
Alan,M,2009,8,2
Alan,M,2009,7,4
Alan,M,2009,6,4
Alan,M,2009,5,3
Alan,M,2009,4,4
Alan,M,2009,3,6
Alan,M,2009,2,3
Alan,M,2009,1,1
Alan,M,2008,12,2
Alan,M,2008,11,8
Alan,M,2008,10,3
Alan,M,2008,9,3
Alan,M,2008,8,4
Alan,M,2008,7,4
Alan,M,2008,6,5
Alan,M,2008,5,3
Alan,M,2008,4,3
Alan,M,2008,3,3
Alan,M,2008,2,0
Alan,M,2008,1,2
Alan,M,2007,12,3
Alan,M,2007,11,3
Alan,M,2007,10,2
Alan,M,2007,9,1
Alan,M,2007,8,2
Alan,M,2007,7,3
Alan,M,2007,6,3
Alan,M,2007,5,2
Alan,M,2007,4,0
Alan,M,2007,3,1
Alan,M,2007,2,0
Alan,M,2007,1,2
Alan,M,2006,12,2
Alan,M,2006,11,2
Alan,M,2006,10,1
Alan,M,2006,9,1
Alan,M,2006,8,3
Alan,M,2006,7,0
Alan,M,2006,6,1
Alan,M,2006,5,5
Alan,M,2006,4,4
Alan,M,2006,3,2
Alan,M,2006,2,3
Alan,M,2006,1,1
Alan,M,2005,12,2
Alan,M,2005,11,1
Alan,M,2005,10,0
Alan,M,2005,9,5
Alan,M,2005,8,3
Alan,M,2005,7,0
Alan,M,2005,6,3
Alan,M,2005,5,1
Alan,M,2005,4,1
Alan,M,2005,3,0
Alan,M,2005,2,1
Alan,M,2005,1,4
Alan,M,2004,12,0
Alan,M,2004,11,1
Alan,M,2004,10,0
Alan,M,2004,9,0
Alan,M,2004,8,1
Alan,M,2004,7,2
Albert,M,2016,5,0
Albert,M,2016,4,0
Albert,M,2016,3,0
Albert,M,2016,2,0
Albert,M,2016,1,0
Albert,M,2015,12,0
Albert,M,2015,11,0
Albert,M,2015,10,1
Albert,M,2015,9,0
Albert,M,2015,8,0
Albert,M,2015,7,0
Albert,M,2015,6,1
Albert,M,2015,5,0
Albert,M,2015,4,0
Albert,M,2015,3,1
Albert,M,2015,2,0
Albert,M,2015,1,0
Albert,M,2014,12,0
Albert,M,2014,11,0
Albert,M,2014,10,0
Albert,M,2014,9,1
Albert,M,2014,8,1
Albert,M,2014,7,0
Albert,M,2014,6,0
Albert,M,2014,5,0
Albert,M,2014,4,1
Albert,M,2014,3,0
Albert,M,2014,2,0
Albert,M,2014,1,2
Albert,M,2013,12,1
Albert,M,2013,11,0
Albert,M,2013,10,1
Albert,M,2013,9,0
Albert,M,2013,8,0
Albert,M,2013,7,0
Albert,M,2013,6,0
Albert,M,2013,5,0
Albert,M,2013,4,0
Albert,M,2013,3,0
Albert,M,2013,2,0
Albert,M,2013,1,1
